conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 2, 0, 51, '(10, 8, 8)', (16, 16, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",51.0,72.0,10.0
"(2, 1, 0, 28, '(9, 8, 5)', (13, 13, 12, 12, 10, 10), ((9, 3, 2, 2, 2, 1), (6, 3, 2, 2, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,70.0,9.0
"(2, 1, 0, 63, '(12, 9, 8)', (16, 16, 10, 10, 9, 9), ((10, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",63.0,70.0,12.0
"(2, 1, 0, 32, '(8, 8, 6)', (13, 13, 12, 12, 10, 10), ((9, 2, 2, 2, 2, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,70.0,8.0
"(2, 1, 0, 37, '(8, 8, 7)', (13, 13, 12, 12, 11, 11), ((9, 2, 2, 2, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,72.0,8.0
"(2, 1, 0, 37, '(8, 8, 7)', (13, 13, 12, 12, 10, 10), ((9, 2, 2, 2, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,70.0,8.0
"(2, 2, 0, 42, '(10, 8, 8)', (17, 17, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",42.0,74.0,10.0
"(2, 2, 0, 43, '(9, 9, 8)', (17, 17, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",43.0,74.0,9.0
"(2, 3, 0, 50, '(9, 9, 8)', (17, 17, 11, 11, 11, 11), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",50.0,78.0,9.0
"(2, 2, 0, 50, '(9, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",50.0,76.0,9.0
"(2, 1, 0, 42, '(10, 9, 6)', (13, 13, 12, 12, 11, 11), ((9, 2, 2, 2, 2, 1, 1), (6, 2, 2, 2, 2, 1, 1, 1, 1, 1), (6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",42.0,72.0,10.0
"(2, 2, 0, 50, '(9, 9, 8)', (16, 16, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",50.0,74.0,9.0
"(2, 3, 0, 55, '(10, 9, 8)', (17, 17, 11, 11, 11, 11), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",55.0,78.0,10.0
"(2, 2, 0, 55, '(10, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",55.0,76.0,10.0
"(2, 2, 0, 55, '(10, 9, 8)', (16, 16, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",55.0,74.0,10.0
"(2, 2, 0, 53, '(10, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 3, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",53.0,76.0,10.0
"(2, 1, 0, 30, '(9, 6, 6)', (10, 10, 10, 10, 9, 9), ((6, 2, 2, 2, 1, 1, 1), (6, 2, 2, 2, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",30.0,58.0,9.0
"(2, 1, 0, 7, '(8, 8, 2)', (9, 9, 9, 9, 3, 3), ((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",7.0,42.0,8.0
"(2, 1, 0, 26, '(8, 8, 6)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,62.0,8.0
"(2, 1, 0, 9, '(9, 8, 2)', (10, 10, 9, 9, 3, 3), ((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",9.0,44.0,9.0
"(2, 2, 0, 43, '(9, 8, 7)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",43.0,64.0,9.0
"(2, 1, 0, 30, '(8, 8, 5)', (12, 12, 10, 10, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",30.0,56.0,8.0
"(2, 1, 0, 8, '(8, 8, 2)', (9, 9, 9, 9, 3, 3), ((9, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",8.0,42.0,8.0
"(2, 2, 0, 30, '(8, 8, 5)', (13, 13, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",30.0,60.0,8.0
"(2, 1, 0, 16, '(11, 10, 2)', (12, 12, 11, 11, 3, 3), ((9, 6, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",16.0,52.0,11.0
"(2, 2, 0, 45, '(9, 8, 7)', (13, 13, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",45.0,60.0,9.0
"(2, 1, 0, 37, '(9, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",37.0,58.0,9.0
"(2, 1, 0, 7, '(7, 7, 2)', (8, 8, 8, 8, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",7.0,38.0,7.0
"(2, 2, 0, 11, '(7, 7, 3)', (9, 9, 9, 9, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",11.0,42.0,7.0
"(2, 1, 0, 2, '(8, 7, 1)', (9, 9, 8, 8, 2, 2), ((8, 6), (2, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",2.0,38.0,8.0
"(2, 2, 0, 15, '(7, 7, 4)', (9, 9, 9, 9, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",15.0,42.0,7.0
"(2, 1, 0, 35, '(9, 7, 6)', (12, 12, 8, 8, 7, 7), ((8, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",35.0,54.0,9.0
"(2, 2, 0, 37, '(10, 7, 6)', (13, 13, 9, 9, 8, 8), ((8, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",37.0,60.0,10.0
"(2, 2, 0, 43, '(10, 7, 7)', (13, 13, 9, 9, 8, 8), ((8, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",43.0,60.0,10.0
"(2, 1, 0, 37, '(10, 7, 6)', (12, 12, 8, 8, 8, 8), ((8, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,56.0,10.0
"(2, 2, 0, 51, '(10, 9, 7)', (15, 15, 11, 11, 7, 7), ((10, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",51.0,66.0,10.0
"(2, 2, 0, 37, '(10, 7, 6)', (13, 13, 9, 9, 8, 8), ((8, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",37.0,60.0,10.0
"(2, 1, 0, 34, '(10, 9, 5)', (13, 13, 10, 10, 6, 6), ((10, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",34.0,58.0,10.0
"(2, 1, 0, 41, '(10, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",41.0,58.0,10.0
"(2, 1, 0, 33, '(10, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",33.0,56.0,10.0
"(2, 1, 0, 33, '(10, 8, 5)', (12, 12, 9, 9, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",33.0,54.0,10.0
"(2, 2, 0, 48, '(10, 8, 7)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",48.0,62.0,10.0
"(2, 1, 0, 45, '(12, 8, 6)', (14, 14, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",45.0,60.0,12.0
"(2, 1, 0, 33, '(10, 8, 5)', (14, 14, 9, 9, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,60.0,10.0
"(2, 2, 0, 52, '(10, 9, 7)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",52.0,62.0,10.0
"(2, 1, 0, 33, '(10, 8, 5)', (13, 13, 10, 10, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,58.0,10.0
"(2, 2, 0, 59, '(10, 9, 8)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",59.0,62.0,10.0
"(2, 2, 0, 65, '(10, 9, 9)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",65.0,62.0,10.0
"(2, 1, 0, 33, '(10, 8, 5)', (13, 13, 9, 9, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,58.0,10.0
"(2, 1, 0, 35, '(8, 8, 6)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",35.0,62.0,8.0
"(2, 1, 0, 40, '(8, 8, 7)', (13, 13, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",40.0,62.0,8.0
"(2, 1, 0, 28, '(8, 8, 5)', (12, 12, 10, 10, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,56.0,8.0
"(2, 2, 0, 45, '(9, 8, 7)', (13, 13, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disconnected"":1}",45.0,60.0,9.0
"(2, 1, 0, 35, '(8, 8, 6)', (13, 13, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",35.0,60.0,8.0
"(2, 2, 0, 40, '(8, 8, 7)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",40.0,64.0,8.0
"(2, 2, 0, 44, '(8, 8, 8)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",44.0,64.0,8.0
"(2, 2, 0, 44, '(8, 8, 8)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",44.0,64.0,8.0
"(2, 1, 0, 39, '(9, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",39.0,58.0,9.0
"(2, 1, 0, 20, '(7, 7, 5)', (12, 12, 8, 8, 6, 6), ((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",20.0,52.0,7.0
"(2, 1, 0, 38, '(10, 7, 6)', (12, 12, 8, 8, 7, 7), ((8, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",38.0,54.0,10.0
"(2, 2, 0, 39, '(8, 8, 7)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""rail"":1}","{""disconnected"":1}",39.0,62.0,8.0
"(2, 1, 0, 32, '(10, 8, 5)', (13, 13, 10, 10, 6, 6), ((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,58.0,10.0
"(2, 2, 0, 53, '(10, 8, 8)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disconnected"":1}",53.0,64.0,10.0
"(2, 1, 0, 30, '(9, 7, 5)', (11, 11, 8, 8, 7, 7), ((8, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",30.0,52.0,9.0
"(2, 1, 0, 1, '(8, 8, 1)', (9, 9, 9, 9, 3, 3), ((9, 7), (2, 2, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",1.0,42.0,8.0
"(2, 1, 0, 32, '(10, 8, 5)', (13, 13, 10, 10, 7, 7), ((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,60.0,10.0
"(2, 1, 0, 32, '(10, 8, 5)', (13, 13, 10, 10, 7, 7), ((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,60.0,10.0
"(2, 1, 0, 40, '(10, 8, 6)', (13, 13, 9, 9, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",40.0,60.0,10.0
"(2, 3, 0, 53, '(10, 8, 8)', (15, 15, 11, 11, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",53.0,68.0,10.0
"(2, 3, 0, 53, '(10, 8, 8)', (15, 15, 11, 11, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",53.0,68.0,10.0
"(2, 2, 0, 53, '(10, 8, 8)', (14, 14, 10, 10, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disconnected"":1}",53.0,64.0,10.0
